racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,result_bin
0.0,0.27444280484177896,0.95,0.34539999999999993,0.4347999999999999,0.39903999999999995,0.02076253377641605,0.0609496783184762,0.18196243733257816,-0.6099000000000001,0.34539999999999993,-0.902475,0.0,0
0.0,0.13844487321677384,0.95,0.1036,0.05459999999999994,0.07419999999999996,0.013218361709866589,0.029453163886336786,0.08542876450900794,-0.9209,0.1036,-0.980225,0.0,1
0.0,0.27257891738862006,0.95,-0.051599999999999965,0.007399999999999949,-0.01620000000000002,0.04259005884471256,0.1343256339318597,0.1896976913288015,-0.9705,0.051599999999999965,-0.992625,0.0,0
-1.0,0.1652082564794309,0.9550000000000001,0.15180000000000007,0.27120000000000005,0.22344000000000006,0.014198484780320531,0.03268939195940623,0.11217179372840745,-0.7885,0.15180000000000007,-0.917125,-0.1,0
0.0,0.15991058336997602,0.95,0.12900000000000006,0.262,0.20880000000000004,0.014067029700105612,0.03224330690818067,0.10885677415716853,-0.8045,0.12900000000000006,-0.951125,0.0,0
0.0,0.1576895811811963,0.95,0.11200000000000003,0.25540000000000007,0.19804000000000005,0.013972725318621506,0.031925638511609344,0.10642889482983756,-0.8162999999999999,0.11200000000000003,-0.954075,0.0,0
0.0,0.15991058336997602,0.95,0.12900000000000006,0.262,0.20880000000000004,0.014067029700105612,0.03224330690818067,0.10885677415716853,-0.8045,0.12900000000000006,-0.951125,0.0,0
0.0,0.1576895811811963,0.95,0.11200000000000003,0.25540000000000007,0.19804000000000005,0.013972725318621506,0.031925638511609344,0.10642889482983756,-0.8162999999999999,0.11200000000000003,-0.954075,0.0,1
0.0,0.1576895811811963,0.95,0.11200000000000003,0.25540000000000007,0.19804000000000005,0.013972725318621506,0.031925638511609344,0.10642889482983756,-0.8162999999999999,0.11200000000000003,-0.954075,0.0,0
0.0,0.1576895811811963,0.95,0.11200000000000003,0.25540000000000007,0.19804000000000005,0.013972725318621506,0.031925638511609344,0.10642889482983756,-0.8162999999999999,0.11200000000000003,-0.954075,0.0,0
0.0,0.1576895811811963,0.95,0.11200000000000003,0.25540000000000007,0.19804000000000005,0.013972725318621506,0.031925638511609344,0.10642889482983756,-0.8162999999999999,0.11200000000000003,-0.954075,0.0,1
1.0,0.2097895811811963,0.95,0.11200000000000003,0.25540000000000007,0.19804000000000005,0.026472725318621507,0.031925638511609344,0.10642889482983756,-0.8162999999999999,0.11200000000000003,-0.924075,0.1,1
-1.0,0.17796347194857706,0.9550000000000001,-0.4072,-0.22840000000000005,-0.2999200000000001,0.004287061731547218,0.007343797379139594,0.07223359410914662,-0.6822,0.4072,-0.89055,-0.1,1
1.0,0.20039376324092775,0.95,-0.09840000000000003,-0.27980000000000005,-0.20724000000000004,0.02132065602298549,0.06402538565608251,0.15407903819247126,-0.8109,0.09840000000000003,-0.922725,0.1,0
2.0,0.2566611900282206,0.95,-0.48100000000000004,-0.3832,-0.42232000000000003,0.016982334045959332,0.007717958690707127,0.09124070030467893,-0.48285714285714276,0.48100000000000004,-0.8107142857142857,0.2,0
-2.0,0.12715904646954818,0.9524999999999999,0.22180000000000008,0.26739999999999997,0.24916,0.005773056754894906,0.010290947204497303,0.06875648037980846,-0.7554000000000001,0.22180000000000008,-0.87885,-0.2,0
-1.0,0.12672828968540195,0.9550000000000001,0.23239999999999994,0.27159999999999995,0.2559199999999999,0.005870150387203875,0.010491796480712523,0.07044924388141612,-0.748,0.23239999999999994,-0.907,-0.1,0
-1.0,0.12718102779674673,0.9550000000000001,0.23540000000000005,0.2728,0.25784,0.0058982085254525056,0.010550035019226689,0.07093250326846916,-0.7459,0.23540000000000005,-0.906475,-0.1,0
1.0,0.13444981154199362,0.95,0.28340000000000004,0.2928,0.28904,0.006372166014693862,0.011547358730185309,0.078872841440003,-0.7119,0.28340000000000004,-0.897975,0.1,0
-1.0,0.12718102779674673,0.9550000000000001,0.23540000000000005,0.2728,0.25784,0.0058982085254525056,0.010550035019226689,0.07093250326846916,-0.7459,0.23540000000000005,-0.906475,-0.1,0
-1.0,0.12718102779674673,0.9550000000000001,0.23540000000000005,0.2728,0.25784,0.0058982085254525056,0.010550035019226689,0.07093250326846916,-0.7459,0.23540000000000005,-0.906475,-0.1,0
1.0,0.12701436113008005,0.95,0.23540000000000005,0.2728,0.25784,0.0058982085254525056,0.010550035019226689,0.07093250326846916,-0.7459,0.23540000000000005,-0.906475,0.1,0
-1.0,0.1299342465193295,0.9550000000000001,0.2534,0.2802000000000001,0.26948000000000005,0.0060707373393689085,0.01091009938844989,0.07387185867152585,-0.7332,0.2534,-0.9033,-0.1,0
-1.0,0.08388044122386555,0.9550000000000001,0.14579999999999999,0.08939999999999998,0.11195999999999998,0.001413161595343075,0.0022499252819470072,0.025690827540258407,-0.8824000000000001,0.14579999999999999,-0.9406,-0.1,0
-1.0,0.08388044122386555,0.9550000000000001,0.14579999999999999,0.08939999999999998,0.11195999999999998,0.001413161595343075,0.0022499252819470072,0.025690827540258407,-0.8824000000000001,0.14579999999999999,-0.9406,-0.1,0
-3.0,0.16136760570223418,0.9524999999999999,-0.02019999999999996,-0.011800000000000067,-0.015160000000000024,0.02116801083892965,0.016768396460843604,0.04893013960683565,-0.984,0.02019999999999996,-0.906,-0.3,0
-2.0,0.1556767186997169,0.9524999999999999,0.0021999999999999884,0.0064000000000000055,0.0047199999999999985,0.020811390426233783,0.01591223450175472,0.04507513614084636,-0.9957,0.0021999999999999884,-0.938925,-0.2,0
-2.0,0.1556767186997169,0.9524999999999999,0.0021999999999999884,0.0064000000000000055,0.0047199999999999985,0.020811390426233783,0.01591223450175472,0.04507513614084636,-0.9957,0.0021999999999999884,-0.938925,-0.2,0
-1.0,0.1535902552700226,0.9550000000000001,-0.0004000000000000625,0.004200000000000017,0.002359999999999985,0.02085299747394323,0.016011222004146952,0.04499561680847918,-0.9976999999999999,0.0004000000000000625,-0.969425,-0.1,0
-2.0,0.1558915256796765,0.9524999999999999,-0.0031999999999999316,0.0021999999999999884,4.000000000002027e-05,0.020895709648959367,0.016113084569187697,0.045299610884840705,-0.9973000000000001,0.0031999999999999316,-0.939325,-0.2,0
-2.0,0.1558915256796765,0.9524999999999999,-0.0031999999999999316,0.0021999999999999884,4.000000000002027e-05,0.020895709648959367,0.016113084569187697,0.045299610884840705,-0.9973000000000001,0.0031999999999999316,-0.939325,-0.2,0
